time,capacity
1505494325,0.1925879472018157
1505494335,0.3003568655557547
1505494345,0.3639132771904676
1505494355,0.22039807680821832
1505494365,0.21775518126978444
1505494375,0.24779012124469924
1505494385,0.190818551036254
1505494395,0.23362748611359974
1505494405,0.2633787254374963
1505494415,0.1903034103804575
1505494425,0.19196828525353882
1505494435,0.39950277728005734
1505494445,0.4068341993668996
1505494455,0.19143074717792508
1505494465,0.19177417428178944
1505494475,0.19489488144299105
1505494485,0.2743833243743654
1505494495,0.1910201278146091
1505494505,0.2366660694021382
1505494515,0.19095293555515735
1505494525,0.32497909574150396
1505494535,0.19303589559816048
1505494545,0.3026414023771128
1505494555,0.2366660694021382
1505494565,0.23058890282506117
1505494575,0.2009869796332796
1505494585,0.19266260526787315
1505494595,0.19763483246729974
1505494605,0.2073702442811921
1505494615,0.192431165263095
1505494625,0.19209520396583646
1505494635,0.22057725616675627
1505494645,0.2195619064683748
1505494655,0.24291494953114734
1505494665,0.2326270680284298
1505494675,0.19007943618228518
1505494685,0.19770202472675147
1505494695,0.19005703876246793
1505494705,0.2693588365286985
1505494715,0.19166218718270323
1505494725,0.19112464910708948
1505494735,0.20986382368751122
1505494745,0.19090067490891716
1505494755,0.19567879113659437
1505494765,0.22280206653526846
1505494775,0.19515618467419216
1505494785,0.2576300543510721
1505494795,0.19176670847518362
1505494805,0.19037060263990924
1505494815,0.1987099086185271
1505494825,0.2426835095263692
1505494835,0.22028608970913222
1505494845,0.19380487367855226
1505494855,0.19375261303231206
1505494865,0.20341336678014688
1505494875,0.19255061816878694
1505494885,0.20729558621513466
1505494895,0.2519709729439169
1505494905,0.22405632204503378
1505494915,0.19130382846562743
1505494925,0.19122917039957
1505494935,0.25017917935853795
1505494945,0.19020635489458282
1505494955,0.24126500627127756
1505494965,0.21650092576001911
1505494975,0.21677716060443175
1505494985,0.19079615361643676
1505494995,0.19172191363554913
1505495005,0.2016066415815565
1505495015,0.24095890820044197
1505495025,0.22075643552529411
1505495035,0.19560413307053692
1505495045,0.319603714985367
1505495055,0.21662784447231676
1505495065,0.26517051902287525
1505495075,0.19095293555515735
1505495085,0.21321597085349098
1505495095,0.21049095144239383
1505495105,0.19169205040912618
1505495115,0.20982649465448244
1505495125,0.1917069820223377
1505495135,0.23311234545780324
1505495145,0.1909156065221287
1505495155,0.19209520396583646
1505495165,0.21639640446753872
1505495175,0.2068401720121842
1505495185,0.5491548706922296
1505495195,0.20009108284059007
1505495205,0.19370781819267757
1505495215,0.1916024607298572
1505495225,0.26464791256047304
1505495235,0.31266798064862933
1505495245,0.2634235202771308
1505495255,0.19562653049035417
1505495265,0.19317774592366954
1505495275,0.19923998088753514
1505495285,0.20313713193573435
1505495295,0.26081795377172545
1505495305,0.2534268052320373
1505495315,0.20356268291226187
1505495325,0.2049737203607478
1505495335,0.214156662485815
1505495345,0.2030027474168309
1505495355,0.19650749566983217
1505495365,0.19249835752254674
